Summary Statistics for Key Variables:
,temp_sp10cm,temp_sp20cm,temp_sp30cm,temp_sp40cm,temp_sp50cm,temp_sp60cm,screw_rpm,water_input,firmness,extruder_location_encoded,protein_source_encoded,avg_temp,temp_gradient,temp_std,water_temp_ratio,rpm_temp_prod,rpm_water_prod,rpm_water_temp_prod
count,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0
mean,70.79470198675497,68.74172185430463,71.0,71.75496688741723,69.60264900662251,70.16556291390728,2596.3576158940396,10.983443708609272,49.56077659327815,0.5198675496688742,0.31125827814569534,70.34326710816778,-0.6291390728476821,13.887245401086657,0.15698209859409473,182916.66666666666,28491.721854304637,2009936.5342163353
std,14.11971496083915,13.871964880648763,13.96982985506273,14.185513591198452,14.34648577488644,14.385730500773299,979.7043309105704,2.4255815609418057,5.566689143560449,0.5004343452378581,0.46377664551441145,5.594938247504151,21.270326497013738,3.207625214576148,0.0363059280707869,71220.42915727638,12681.523078485172,926495.4028824193
min,50.0,50.0,50.0,50.0,50.0,50.0,1000.0,8.0,34.61608273,0.0,0.0,55.0,-40.0,4.08248290463863,0.09411763598616046,58333.333333333336,8000.0,493333.3333333333
25%,60.0,60.0,60.0,60.0,60.0,60.0,2000.0,9.0,46.1040084575,0.0,0.0,66.66666666666667,-20.0,11.690451944500122,0.12558137782585424,133333.33333333334,18000.0,1260000.0
50%,70.0,70.0,70.0,70.0,70.0,70.0,3000.0,11.0,49.46398896,1.0,0.0,70.0,0.0,14.719601443879744,0.1554037032756488,205000.0,28400.0,1974000.0
75%,80.0,80.0,80.0,80.0,80.0,80.0,3500.0,12.0,53.85391228,1.0,1.0,74.58333333333333,10.0,16.329931618554518,0.17999997300000403,240000.00000000003,38500.0,2656500.0
max,90.0,90.0,90.0,90.0,90.0,90.0,3600.0,15.0,63.21693798,1.0,1.0,86.66666666666667,40.0,20.65591117977289,0.24999995833334027,294000.0,54000.0,4410000.0

Firmness Stats by City:
extruder_location,count,mean,std,min,25%,50%,75%,max
Haifa,145.0,50.33420837331035,5.541486926630395,37.64898818,46.50033439,50.03169875,54.68378039,63.21693798
Tlv,157.0,48.84646061808917,5.511401900957975,34.61608273,45.51507385,49.25332227,52.70257252,60.59578028

Firmness Stats by Protein Source:
protein_source,count,mean,std,min,25%,50%,75%,max
Pea,208.0,48.68567545567308,5.627711112813315,34.61608273,44.673693847500004,48.36738012,52.956554875,61.92250078
Soy,94.0,51.49717059989362,4.929307540718308,39.57558396,48.4644018975,50.85169619,56.014399282499994,63.21693798
